# 193 data points	
# s/GeV	|F(s)|^2
0.355	7.27585829
0.365	8.01734085
0.375	8.60767408
0.385	9.37344446
0.395	10.1551657
0.405	11.2015395
0.415	12.2259274
0.425	13.4354201
0.435	14.6339079
0.445	16.0666733
0.455	17.8420687
0.465	19.4250887
0.475	21.2471347
0.485	23.7841333
0.505	28.5534368
0.515	31.1246247
0.525	33.080223
0.535	35.8259214
0.545	37.9165159
0.555	39.4883152
0.575	41.721806
0.585	42.5839743
0.595	43.0783179
0.605	42.9568184
0.615	31.0110878
0.625	27.9363336
0.635	27.6729692
0.645	26.1218442
0.655	24.5833818
0.665	22.78022
0.675	21.0625239
0.685	19.3385539
0.695	17.8728124
0.705	16.5493445
0.715	14.9608746
0.725	14.0120316
0.735	13.0084263
0.745	12.032605
0.755	11.1073603
0.765	10.232344
0.775	9.47838278
0.785	8.84362949
0.795	8.31354441
0.805	7.82140741
0.815	7.3749517
0.825	6.89294983
0.835	6.46768081
0.845	6.11254673
0.855	5.72171244
0.865	5.41155263
0.875	5.10991743
0.885	4.85790218
0.895	4.61671721
0.905	4.39526398
0.915	4.17829369
0.925	3.98474191
0.935	3.82781353
0.945	3.66760516
0.105	1.60610823
0.115	1.8967607
0.125	1.86535972
0.135	1.70982015
0.145	1.75759232
0.155	1.98964296
0.165	2.17540358
0.175	2.28769572
0.185	2.3418364
0.195	2.71514402
0.205	2.68584893
0.215	2.76858873
0.225	2.92968418
0.235	3.26717031
0.245	3.27987946
0.255	3.47546669
0.265	4.04368981
0.275	4.12383903
0.285	4.43806913
0.295	4.72782307
0.305	5.04623986
0.315	5.29874453
0.325	5.4725535
0.335	5.7269791
0.345	6.3809129
0.355	7.06735478
0.365	7.72152516
0.375	8.3634646
0.385	9.39518641
0.395	9.95365693
0.405	10.8728132
0.415	11.7619578
0.425	13.3298265
0.435	14.5502442
0.445	15.5775043
0.455	17.1478418
0.465	19.4915618
0.475	20.5864617
0.485	23.8395353
0.495	25.2336305
0.505	27.5670875
0.515	31.121074
0.525	32.4840548
0.535	35.6191121
0.545	38.186998
0.555	40.196836
0.565	41.2127349
0.575	42.1592809
0.585	42.7810041
0.595	42.4203416
0.605	43.0140643
0.615	32.0117242
0.625	27.9072858
0.635	27.4505812
0.645	26.4436762
0.655	24.4641289
0.665	22.5003766
0.675	21.1497626
0.685	19.8279766
0.695	18.0041576
0.705	16.500494
0.715	15.1689467
0.725	13.961619
0.735	12.9073341
0.745	11.8579714
0.755	10.9826726
0.765	10.2035922
0.775	9.54361091
0.785	8.87993063
0.795	8.25760107
0.805	7.88865561
0.815	7.32770274
0.825	6.8493255
0.835	6.42444978
0.845	6.04217569
0.355	7.09170487
0.365	7.61275042
0.375	8.37893258
0.385	9.2155007
0.395	10.3028803
0.405	10.7840571
0.415	11.9845576
0.425	13.2806985
0.435	14.9275055
0.445	16.0464902
0.455	17.8242743
0.465	18.6723522
0.475	21.0288407
0.485	23.306374
0.495	25.5284977
0.505	27.6324328
0.515	30.6926817
0.525	32.7019336
0.535	36.0528793
0.545	37.5548375
0.555	39.5426552
0.565	41.8254341
0.575	42.4879182
0.585	42.5763567
0.595	42.2726929
0.605	42.6414558
0.615	31.5540848
0.625	28.740883
0.635	28.0503014
0.645	26.7810243
0.655	25.292167
0.665	22.7571408
0.675	21.8649492
0.685	19.5757429
0.695	17.6953446
0.705	16.7384099
0.715	14.7902524
0.725	13.9530925
0.735	13.0822983
0.745	12.2537702
0.755	11.3525103
0.765	10.1047272
0.775	9.28792991
0.785	8.89331799
0.795	8.48917849
0.805	7.91630067
0.815	7.47334733
0.825	7.04128129
0.835	6.59900944
0.845	6.14581223
0.855	5.70755101
0.865	5.48839332
0.875	5.18015574
0.885	4.9923188
0.895	4.62356401
0.905	4.43721201
0.915	4.23521763
0.925	3.99033832
0.935	3.87485286
0.945	3.63811806
