# 45 data points	
# normalization uncertainty, totally correlated: 3.2% for the first 2 points, 1.3% for the rest	
# s/GeV	|F(s)|^2	sigma_stat(|F(s)|^2)
0.1521	2.35937832	0.441532965
0.1681	2.42824417	0.367449618
0.1849	2.08250728	0.239001341
0.1936	2.18190414	0.294841588
0.2025	2.67379898	0.270975051
0.2209	2.76812066	0.256042458
0.2304	3.21974718	0.189075512
0.25	3.50621226	0.217441068
0.2601	3.53437171	0.338823631
0.2704	3.67880526	0.213415894
0.2809	4.20997343	0.479482527
0.2916	4.56048687	0.29167261
0.3025	4.75492625	0.383708931
0.3136	5.06472663	0.278346865
0.3364	5.95318763	0.336521196
0.36	7.01825659	0.258768146
0.3969	10.049303	0.220109141
0.4356	14.5999548	0.167643469
0.4761	21.8810794	0.237701835
0.5184	32.1807089	0.215884567
0.5625	41.406842	0.730873459
0.5776	42.6783481	0.328955975
0.583696	42.8932079	0.322363624
0.5929	43.3780073	0.322265501
0.599076	44.7612937	0.331612617
0.605284	44.5144544	0.331222908
0.6084	41.6543955	0.343478048
0.609961	38.9626221	0.363666649
0.611524	36.8114256	0.879621159
0.613089	33.6450151	0.361689408
0.614656	30.6636521	0.623295328
0.616225	28.8044443	0.285889067
0.617796	28.3502589	0.240502416
0.6241	28.1077992	0.558004044
0.630436	28.6442707	0.239802374
0.64	27.9067222	0.239123323
0.6561	24.8342259	0.215269098
0.6724	22.0743135	0.196260473
0.7056	16.6556648	0.154877429
0.7744	9.87251425	0.112032062
0.8464	6.41965218	0.223572201
0.8836	5.20657852	0.0709671727
0.9025	4.67937574	0.0887980862
0.917764	4.27536895	0.0915260558
0.9409	3.6749796	0.0856809792
