# 270 data points	
# s/GeV	|F(s)|^2
0.093025	1.62802076
0.099225	1.59545193
0.105625	1.61643114
0.112225	1.55670208
0.119025	1.71250433
0.126025	1.82370505
0.133225	1.81409923
0.140625	1.85386346
0.148225	2.11343327
0.156025	2.09828978
0.164025	2.32076901
0.172225	2.28333527
0.180625	2.44933817
0.189225	2.47006521
0.198025	2.61804332
0.207025	2.65879679
0.216225	2.88876906
0.225625	3.13203776
0.235225	3.28838884
0.245025	3.38843795
0.251001	3.40862901
0.253009	3.47636242
0.255025	3.56118801
0.257049	3.54580532
0.259081	3.56624243
0.261121	3.62696838
0.263169	3.8329835
0.265225	3.77215943
0.267289	3.84182215
0.269361	3.92082675
0.271441	3.84068749
0.273529	3.98628653
0.275625	4.12981302
0.277729	4.10768136
0.279841	4.21902379
0.281961	4.21254051
0.284089	4.30644855
0.286225	4.46894246
0.288369	4.59762925
0.290521	4.58256956
0.292681	4.72381427
0.294849	4.85562502
0.297025	4.81376112
0.299209	5.03520671
0.301401	5.07961445
0.303601	5.10734539
0.305809	5.09954042
0.308025	5.31812041
0.310249	5.27244544
0.312481	5.23988728
0.314721	5.44852636
0.316969	5.58254675
0.319225	5.6325952
0.321489	5.60099729
0.323761	5.88527542
0.326041	5.79275779
0.328329	5.79901517
0.330625	6.01410078
0.332929	6.26746746
0.335241	6.1104522
0.337561	6.36612258
0.339889	6.41231854
0.342225	6.60909845
0.344569	6.70099007
0.346921	6.71406679
0.349281	6.70724188
0.351649	7.03867833
0.354025	7.2613615
0.356409	7.57881241
0.358801	7.82764448
0.361201	7.72634675
0.363609	7.93337876
0.366025	8.05585377
0.368449	8.20292721
0.370881	8.30997841
0.373321	8.46749743
0.375769	8.58740105
0.378225	8.73490923
0.380689	8.98370923
0.383161	9.18160989
0.385641	9.33015113
0.388129	9.7352597
0.390625	9.71069491
0.393129	10.0831533
0.395641	10.2751104
0.398161	10.9110417
0.400689	10.9411488
0.403225	11.2237563
0.405769	11.4125311
0.408321	11.2856031
0.410881	11.8994009
0.413449	12.1343303
0.416025	12.2888279
0.418609	12.5491115
0.421201	13.2488775
0.423801	13.5221258
0.426409	13.7556782
0.429025	13.9585125
0.431649	14.3203956
0.434281	14.6632896
0.436921	14.9020737
0.439569	15.3530784
0.442225	15.8538992
0.444889	15.9917194
0.447561	16.417108
0.450241	16.9391562
0.452929	17.7513952
0.455625	18.0044348
0.458329	18.5594868
0.461041	19.125563
0.463761	19.6572925
0.466489	20.015242
0.469225	20.7918662
0.471969	21.3886559
0.474721	21.6319359
0.477481	22.7476862
0.480249	22.9529905
0.483025	23.8484651
0.485809	24.5850901
0.488601	24.8590309
0.491401	25.4553643
0.494209	25.7790789
0.497025	26.5366659
0.499849	27.8135242
0.502681	27.8938048
0.505521	28.9210256
0.508369	29.8223474
0.511225	30.2637983
0.514089	31.3431641
0.516961	32.0296238
0.519841	32.5780481
0.522729	33.5836812
0.525625	33.7639133
0.528529	34.7590991
0.531441	35.4020105
0.534361	35.820327
0.537289	37.1106133
0.540225	37.6640139
0.543169	38.6812425
0.546121	39.8001278
0.549081	39.9734898
0.552049	40.5149733
0.555025	40.7289341
0.558009	41.3133561
0.561001	42.2232273
0.564001	42.4329333
0.567009	42.7709386
0.570025	43.4331818
0.573049	42.7171126
0.576081	43.0036038
0.579121	43.4096478
0.582169	43.7963677
0.585225	43.6741466
0.588289	43.6559833
0.591361	44.1069726
0.594441	44.0206865
0.597529	44.6244733
0.600625	45.0202092
0.603729	45.2660804
0.606841	44.6862324
0.609961	40.8721341
0.613089	33.8664077
0.616225	29.8653612
0.619369	28.7970544
0.622521	28.9053046
0.625681	28.7033916
0.628849	28.815921
0.632025	29.1970581
0.635209	28.7649806
0.638401	27.8919333
0.641601	27.605807
0.644809	27.2333512
0.648025	26.8118643
0.651249	26.0028812
0.654481	25.3426493
0.657721	24.5871046
0.660969	23.9644328
0.664225	23.8412167
0.667489	22.9309279
0.670761	22.1042664
0.674041	22.0097311
0.677329	21.5719644
0.680625	20.4466526
0.683929	20.4154323
0.687241	19.9168173
0.690561	19.1292705
0.693889	18.6895854
0.697225	18.1491943
0.700569	17.7761674
0.703921	17.3043601
0.707281	16.778395
0.710649	16.2454741
0.714025	15.9125385
0.717409	15.6305059
0.720801	14.81978
0.724201	14.611067
0.727609	14.4164874
0.731025	13.3993791
0.734449	13.196607
0.737881	13.1322327
0.741321	12.6175832
0.744769	12.655881
0.748225	12.123094
0.751689	11.9777363
0.755161	11.6370226
0.758641	11.14582
0.762129	10.7677439
0.765625	10.8045946
0.769129	10.4249907
0.772641	10.0589307
0.776161	9.83897803
0.779689	9.78629582
0.783225	9.57685972
0.786769	9.45533253
0.790321	8.87112804
0.793881	8.95948628
0.797449	8.66010768
0.801025	8.43575017
0.804609	8.54865677
0.808201	8.2861997
0.811801	8.05930419
0.815409	7.94370566
0.819025	7.63326941
0.822649	7.36558011
0.826281	7.01081687
0.829921	7.03486367
0.833569	6.8702469
0.837225	6.5605147
0.840889	6.55258079
0.844561	6.47598371
0.848241	6.07651875
0.851929	6.26653647
0.855625	5.99313508
0.859329	5.82415747
0.863041	5.81062383
0.866761	5.62324059
0.870489	5.5993273
0.874225	5.30263755
0.877969	5.19463156
0.881721	5.06613987
0.885481	5.16483742
0.889249	5.02174751
0.893025	4.83677571
0.896809	4.97621351
0.900601	4.68152461
0.904401	4.72663729
0.908209	4.69832908
0.912025	4.50984054
0.915849	4.54155258
0.919681	4.28482277
0.923521	4.25929765
0.927369	4.17347854
0.931225	3.99756074
0.935089	3.93542443
0.938961	3.88608329
0.942841	3.88196344
0.946729	4.04086193
0.950625	3.75994507
0.954529	3.62584726
0.958441	3.68124372
0.962361	3.52994296
0.966289	3.60396855
0.970225	3.37744679
0.974169	3.47315823
0.978121	3.259913
0.982081	3.37942257
0.986049	3.24370977
0.990025	3.24592205
0.994009	3.17479529
0.998001	3.16370088
