# 43+10+29 = 82 data points	
# normalization uncertainty, totally correlated: 0.6% for the first 43 points, 0.7% for the next 10 points, 0.8% for the last 29 points	
# s/GeV	|F(s)|^2	sigma_stat(|F(s)|^2)
0.37271025	8.10930218	1.14188265
0.38502025	9.87674407	0.732981756
0.39753025	11.0467811	0.732758902
0.41025306	11.2369043	0.727199613
0.42313724	12.9516239	0.849630722
0.43626025	13.7089047	0.768148309
0.44957025	15.7353974	0.838674829
0.463202748	19.968897	0.923143143
0.476693585	20.9851737	0.742762455
0.49072827	24.4107559	0.642082486
0.504767621	28.3058299	1.00816909
0.518760062	32.6351994	0.844013778
0.533250458	35.1077032	1.20411611
0.54789604	38.5082889	1.19412874
0.562920078	43.0411715	1.15449646
0.577873632	44.0823427	1.17128583
0.583955789	43.8432489	1.038532
0.593069412	44.8627201	1.15478911
0.599664384	43.8042379	1.16136091
0.605548549	46.1965034	1.31649829
0.608665229	43.222606	1.19882534
0.611883773	35.9864045	0.648187406
0.615032378	33.0494645	0.940039987
0.617858882	28.855683	1.02636381
0.62425801	31.0064019	1.07303054
0.63065834	29.1530565	0.821806436
0.640032	28.6461913	0.69643432
0.65632682	25.0020369	0.536508838
0.6724328	23.555877	0.75402462
0.688850201	20.1219088	0.719851019
0.70408881	16.4658606	0.686716925
0.721208578	13.8891044	0.684674161
0.73891216	14.2284816	0.666523542
0.75603025	10.9006399	0.447414324
0.774118426	10.0134625	0.775690755
0.791601678	8.32552977	0.333866422
0.810072002	7.70834112	0.288685777
0.8281364	6.76438135	0.307272352
0.845590594	5.98687257	0.299343629
0.865104612	5.68962179	0.359871995
0.887721996	5.15983738	0.246815326
0.905999386	4.55895097	0.232212679
0.92452071	4.29670199	0.226649825
0.1369	2.01890156	0.123157394
0.1521	1.80756366	0.119827254
0.1681	1.94726878	0.136308814
0.1849	2.48186341	0.112898952
0.2025	2.64855642	0.143423633
0.2209	2.78861952	0.141171446
0.2304	2.97369536	0.200978098
0.25	3.19871984	0.233614371
0.2601	3.77685122	0.250980467
0.2704	3.47545421	0.211567248
0.36	7.82228618	0.324645019
0.3969	10.4545553	0.2892863
0.4356	14.1467559	0.339564921
0.4761	21.2225657	0.417968537
0.5184	31.8565797	0.408185105
0.5625	41.6732862	0.610668238
0.5776	43.0102558	0.819930147
0.583696	43.8348403	0.717465708
0.5929	43.5710989	0.726184982
0.599076	44.9414373	0.519515188
0.605284	44.0723705	0.414878796
0.6084	42.2518971	0.546287154
0.609961	40.3112335	0.520012518
0.611524	38.1089183	0.191967205
0.613089	34.5889111	0.401877121
0.614656	31.7464169	0.347613628
0.617796	29.1678289	0.352460437
0.6241	29.1402112	0.571240095
0.630436	28.8781044	0.449410013
0.64	28.2400025	0.369521925
0.6561	25.4263972	0.35878183
0.6724	22.2835102	0.243939571
0.7056	17.0365172	0.195998732
0.7744	9.91691214	0.141077411
0.8464	6.50147961	0.0894288804
0.8836	5.00944749	0.115959433
0.9025	4.59104999	0.0991893516
0.917764	4.12106848	0.0862549217
0.9409	3.81892364	0.0881290071
